query,ko,name
"2,5-Dichloro-4-oxohex-2-enedioate",NA,NA
"2,5-Dimethoxy-3-methylcyclohexa-2,5-diene-1,4-dione",NA,NA
Prosulfocarb,cpd:C18760,Prosulfocarb
"2,6,6-Trimethyl-2-cyclohexene-1,4-dione",NA,NA
"2,6-Diaminopimelic Acid",NA,NA
"2,6-Dihydroxy-4-methoxybenzoic acid",NA,NA
Acetylcarnitine,cpd:C02571,O-Acetylcarnitine; O-Acetyl-L-carnitine
Clavamycin E,cpd:C17365,Clavamycin E
2-[(2-Acetamido-5-amino-5-oxopentanoyl)amino]-5-amino-5-oxopentanoic acid,NA,NA
2-[(2-Amino-3-methylbutanoyl)amino]propanoic acid,NA,NA
"2-[(2R)-5-acetyl-2,3-dihydro-1-benzofuran-2-yl]prop-2-enyl (Z)-2-methylbut-2-enoate",NA,NA
Cytosine,cpd:C00380,Cytosine
Cytosine,cpd:C17325,tRNA cytosine
Jasmonic acid,cpd:C08491,"(-)-Jasmonic acid; Jasmonic acid; {(1R,2R)-3-Oxo-2-[(Z)pent-2-enyl]cyclopent-2-enyl}acetic acid; Jasmonate; (-)-Jasmonate"
"2-[(2S,3R,4S,5R)-3,4-Dihydroxy-5-{[(isopropylcarbamoyl)amino]methyl}tetrahydro-2-furanyl]-N-[2-(dimethylamino)ethyl]acetamide",NA,NA
"2-[(2S,5S)-5-hydroxy-6-methylhept-6-en-2-yl]-5-methylphenol",NA,NA
"2-[(3,6-dimethyl-4-oxo-2-thieno[2,3-d]pyrimidinyl)thio]-N-(4-methylphenyl)acetamide",NA,NA
2-[(3S)-1-(cyclohexylmethyl)pyrrolidin-3-yl]-3H-benzimidazole-5-carbonitrile,NA,NA
"2-[(5,7-dihydroxy-4,7-dimethyl-4a,5,6,7a-tetrahydro-1H-cyclopenta[c]pyran-1-yl)oxy]-6-(hydroxymethyl)tetrahydropyran-3,4,5-triol",NA,NA
2-{[2-(3-cyano-2-pyridinyl)hydrazino]carbonyl}benzoic acid,NA,NA
2-{2-[5-(Ethoxycarbonyl)-2-morpholinoanilino]-2-oxoethoxy}acetic acid,NA,NA
2-acetamido-2-deoxy-3-O-(6-O-sulfonato-beta-D-glucosyl)-beta-D-galactose,NA,NA
2-acetamidohex-4-enoic acid,NA,NA
"2'-Acetoxy-4',6'-dimethoxyacetophenone",NA,NA
Isophorone,cpd:C14743,"Isophorone; 1,1,3-Trimethyl-3-cyclohexene-5-one"
2-Butyl-5-[2-(4-hydroxy-3-methoxyphenyl)ethyl]furan,NA,NA
"2-Cyclohexen-1-one, 4-hydroxy-3-methyl-6-(1-methylethyl)-",NA,NA
2-Decylbenzenesulfonate,NA,NA
2-Deoxyguanosine,NA,NA
2-Hexenoylcarnitine,NA,NA
7-hydroxy-6-methoxy-2H-chromen-2-one,cpd:C01752,Scopoletin; 7-Hydroxy-6-methoxy-2H-chromen-2-one
2-Hydroxy-4-(4-hydroxyphenyl)butanoic acid,NA,NA
"2'-Hydroxy4',6'-dimethoxy-3'-(3-methyl-2-butenyl)acetophenone",NA,NA
2'-Hydroxy-4'-methoxypropiophenone,NA,NA
Scopoletin,cpd:C01752,Scopoletin; 7-Hydroxy-6-methoxy-2H-chromen-2-one
3-Methoxycinnamic acid,cpd:C01494,Ferulate; Ferulic acid; 4-Hydroxy-3-methoxycinnamic acid; 3-Methoxy-4-hydroxy-trans-cinnamate; 4-Hydroxy-3-methoxycinnamate
"2-Methoxy-N-(5-{5-[(2S)-1-(3,4,5-trimethoxybenzyl)-2-pyrrolidinyl]-1,2,4-oxadiazol-3-yl}-4-pyrimidinyl)acetamide",NA,NA
"2-methyl-3-[(2-oxochromen-7-yl)oxymethyl]-4-(2,2,6-trimethylcyclohexyl)but-2-enoic acid",NA,NA
"2-Methyl-5-prop-1-en-2-ylcyclohexa-2,4-dien-1-one",NA,NA
2-Methyllactic acid,NA,NA
Resorcinol diglycidyl ether,cpd:C19228,Diglycidyl resorcinol ether
4-Phenylbutyric acid,cpd:C21793,4-Phenylbutyrate; 4-Phenylbutanoate; 4-Phenylbutyric acid
2-methyl-muconate,NA,NA
Citrinin,cpd:C16765,Citrinin
Biotin,cpd:C00120,Biotin; D-Biotin; Vitamin H; Coenzyme R
2-O-alpha-mannosyl-D-glycerate,NA,NA
Esculetin,cpd:C09263,Esculetin; Aesculetin
2-Piperidin-2-ylacetate,NA,NA
"2-Propenal, 3-(4-hydroxy-3,5-dimethoxyphenyl)-",NA,NA
Deoxynivalenol,cpd:C09747,Vomitoxin; Deoxynivalenol; DON
2-xylene,NA,NA
Apocynin,cpd:C11380,Apocynin; Acetovanillone
3-(1H-imidazol-5-yl)-2-(trimethylazaniumyl)propanoate,NA,NA
Scoparone,cpd:C09311,"Scoparone; 6,7-Dimethoxycoumarin"
3-(1-Hydroxy-2-Methylbutyl)-4-Methyl-2(5H)-Furanone),NA,NA
"3-(2,4-Dihydroxyphenyl)-2-oxopropanoic acid",NA,NA
"3-(2,5-Dihydroxyphenyl)prop-2-enal",NA,NA
Triptolide,cpd:C09204,Triptolide
3-(2-Methoxyphenyl)propanoic acid,NA,NA
3-(2-Oxocyclohexyl)propanoic acid,NA,NA
"3-(2-Oxopropyl)-6,8-dihydroxyisocoumarin",NA,NA
"3-(3,4,5-trimethoxyphenyl)propanoic acid",NA,NA
"3-(3,5-dimethoxyphenyl)prop-2-enoic acid",NA,NA
3-(3-Hydroxyphenyl)propionic Acid,NA,NA
3-(4-Hydroxy-3-(3-methyl-2-butenyl)phenyl)-2-propenal,NA,NA
3-(4-Hydroxyphenyl)-1-(4-methoxyphenyl)propan-1-one,NA,NA
3-(4-Methylbenzoyl)acrylic acid,NA,NA
"3-(5,7-Dimethoxy-4-oxochromen-2-yl)propanoic acid",NA,NA
"3-(7-hydroxy-4-methoxycarbonyl-9-methyl-11-oxo-10-oxatricyclo[6.3.2.0^{1,7}]tridec-3-en-9-yl)propanoic acid",NA,NA
"3-(Acetyloxy)-2-(3,4-dimethoxyphenyl)-7,8-dimethoxy-3,4-dihydro-2H-chromen-4-yl acetate",NA,NA
3-(Dodecanoylamino)propyl-hydroxy-dimethylazanium,NA,NA
"3,11,12-Trihydroxy-1(10)-spirovetiven-2-one",NA,NA
"3,3'-Diisopropyl-6,6'-dimethyl-2,2',5,5'-biphenyltetrol",NA,NA
"3,3'-Methylenebis(4-hydroxy-6-methyl-2H-pyran-2-one)",NA,NA
"3,4',5,6,7-Pentahydroxyflavanone",NA,NA
"3,4',5-Biphenyltriol",NA,NA
"3,4,5-trihydroxy-6-[(E)-5-(4-methoxyphenyl)-3-oxopent-4-enoxy]oxane-2-carboxylic acid",NA,NA
Eucalyptol,cpd:C09844,"1,8-Cineole; 1,8-Cineol; Eucalyptol; 1,3,3-Trimethyl-2-oxabicyclo[2.2.2]octane"
"3,4-Dihydroxy cinnamic acid",NA,NA
"3,4-Dihydroxy-5-methoxy-trans-cinnamic acid methyl ester",NA,NA
"3',4'-Dimethoxyacetophenone",NA,NA
"3,5-Dihydroxy-4-geranylbibenzyl",NA,NA
"3,6-Anhydro-l-lactose",NA,NA
"3,6-Dimethylchromone",NA,NA
"3,7-Dihydroxy-2-naphthoic acid",NA,NA
"3,8-bis(2-methoxyethyl)-1-methyl-7,8-dihydro-1H-imidazo[2,1-f]purine-2,4(3H,6H)-dione",NA,NA
3-[(2-amino-9H-purin-6-yl)amino]propanoic acid,NA,NA
3-{[2-(3-Cyano-2-pyridinyl)hydrazino]carbonyl}-2-pyrazinecarboxylic acid,NA,NA
"3a[(2S)a2aHydroxypropyl]a6,8adimethoxya1Ha isochromena1aone",NA,NA
"3b-Hydroxy-6b-tigloyloxy-7(11)-eremophilen-12,8b-olide",NA,NA
3-cis-Hydroxyglipizide,NA,NA
4'-Methoxyacetophenone,cpd:C10680,"2',6'-Dihydroxy-4'-methoxyacetophenone; 4-O-Methylphloracetophenone"
Demethylsuberosin,cpd:C18083,Demethylsuberosin; 7-Demethylsuberosin
Nevirapine,cpd:C07263,Nevirapine
"3-Hydroxy-1-(8-hydroxy-6-methoxy-3-methyl-1-oxo-3,4-dihydro-1H-2-benzopyran-7-yl)-3-methylbutan-2-yl acetate",NA,NA
"3-Hydroxy-estra-1,3,5(10)-trien-16-one",NA,NA
3-Hydroxysuberic acid,NA,NA
3-Hydroxyvaleric acid,NA,NA
3-Methoxy-2(5h)-furanone,NA,NA
"3-methyl-4-[2-(2-methylphenyl)hydrazono]-4,5-dihydro-1H-pyrazol-5-one",NA,NA
"4-(3,4-Dimethoxyphenyl)-4-oxocrotonic acid",NA,NA
4-(3-Hydroxy-3-phenylpropyl)phenol,NA,NA
Phloretin,cpd:C00774,"Phloretin; 3-(4-Hydroxyphenyl)-1-(2,4,6-trihydroxyphenyl)propan-1-one"
4-(benzyloxy)-2-{[(tert-butoxy)carbonyl]amino}-4-oxobutanoic acid,NA,NA
3-Dimethylallyl-4-hydroxymandelic acid,cpd:C12457,3-Dimethylallyl-4-hydroxymandelic acid; 3-Dimethylallyl-4-hydroxymandelate; 4-Hydroxy-3-prenylmandelate
4-(Methoxycarbonyl)benzoic acid,NA,NA
"4,4'-Benzene-1,4-diylbisbut-3-en-2-one",NA,NA
"4,4'-Dimethylbenzophenone",NA,NA
"4,5-Dimethoxyphthalic acid",NA,NA
Estriol,cpd:C05141,"Estriol; 1,3,5(10)-Estratriene-3,16-alpha,17beta-triol"
"4,5-diphenyl-2,3-dihydro-1H-pyrazolo[3,4-c]pyridazin-3-one",NA,NA
"4,6,7-Trihydroxycoumarin",NA,NA
"4-[2-(2,3-Dihydroxy-5,6,8a-trimethyloctahydro-2H-spiro[naphthalene-1,2'-oxiran]-5-yl)ethyl]-5-hydroxy-2(5H)-furanone",NA,NA
4-[Ethyl(dimethyl)ammonio]butanoate,NA,NA
46-Dimethylcurvulinic acid,NA,NA
"4-acetoxy-10-methyl-3-methylene-2-oxo-3a,4,5,8,9,11a-hexahydrocyclodeca[b]furan-6-carboxylic acid",NA,NA
alpha-Pinene oxide,cpd:C02759,alpha-Pinene-oxide
4-Acetylresorcinol,NA,NA
"4-Amino-4-(3-hydroxypropyl)heptane-1,7-diol",NA,NA
coenzyme Q1,cpd:C11378,Ubiquinone-10; Ubidecarenone; Coenzyme Q10
Tutin,cpd:C09570,Tutin
4-amino-5-[[2-[(2-amino-2-carboxy-ethyl)sulfanylmethylsulfanyl]-1-carboxy-ethyl]amino]-5-oxo-pentanoic acid,NA,NA
"4-Benzyloxy-2'-hydroxy-3',4',5',6'-tetramethoxychalcone",NA,NA
"4-Cyclopentene-1,3-dione",NA,NA
4-Dodecylbenzenesulfonic acid,NA,NA
"4-Hydroxy-3,5,4'-trimethoxystilbene",NA,NA
4-Hydroxyphenylpyruvic acid,NA,NA
4-hydroxytetracenomycin A2,NA,NA
4-Methoxy-3-(3-methylbut-2-enoyl)benzaldehyde,NA,NA
"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",NA,NA
"4-Methoxy-6-pentyl-2-prop-1-en-2-yl-2,3-dihydro-1-benzofuran-7-carboxylic acid",NA,NA
"4-methoxy-9-(2-methylbut-3-en-2-yl)-7H-furo[3,2-g]chromen-7-one",NA,NA
4-Methoxycinnamic acid,NA,NA
"4-methyl-5-[2-(1-methylene-2-oxo-propyl)-5-oxo-hexyl]cyclopent-4-ene-1,3-dione",NA,NA
4-Methylumbelliferone hydrate,NA,NA
4-Morpholinepropanesulfonic acid,NA,NA
4-O-Methylgrifolic acid,NA,NA
"4-oxo-4,5,6,7-tetrahydrobenzo[b]furan-3-carboxylic acid",NA,NA
4-oxododecanedioic acid,NA,NA
"5-(1,2-Dihydroxypropan-2-yl)-2-methylcyclohex-2-en-1-one",NA,NA
"5-(4-carboxy-3-methylbutyl)-5,6,8a-trimethyl-3-oxo-3,4,4a,5,6,7,8,8a-octahydronaphthalene-1-carboxylic acid",NA,NA
5-(Hydroxymethyl)uracil,NA,NA
"5,10,15-trimethyl-4,9,13-trioxatetracyclo[10.3.0.0Âl,âµ.0â¸,Âaâ°]pentadec-1(15)-en-14-one",NA,NA
beta-Lapachone,cpd:C10367,beta-Lapachone
"5,7-Dihydroxy-4-methylcoumarin",NA,NA
"5,8-dihydroxy-10-methoxy-2-methyl-4H-benzo[h]chromen-4-one",NA,NA
Veraguensin,cpd:C10892,(+)-Veraguensin
"5,8-dihydroxy-10-methyl-5,8,9,10-tetrahydro-2H-oxecin-2-one",NA,NA
"5-[(1E)-3-hydroxy-3-methylbut-1-en-1-yl]-2-methylcyclohex-5-ene-1,2,4-triol",NA,NA
"5-[(1S,3aR,4S,6aR)-4-(3,4,5-trimethoxyphenyl)-hexahydrofuro[3,4-c]furan-1-yl]-2H-1,3-benzodioxole",NA,NA
"5-[(4-Thiophen-2-ylpyrimidin-2-yl)sulfanylmethyl]-2,1,3-benzoxadiazole",NA,NA
5-[(E)-but-1-enyl]-4-methoxy-6-methylpyran-2-one,NA,NA
5-acetyl-2-(acetyloxy)phenyl acetate,NA,NA
5-amino-1-phenyl-1H-pyrazole-4-carbonitrile,NA,NA
5-Aminonicotinic acid,NA,NA
5-Aminopentane-1-sulfonate,NA,NA
N-Glycosyl-L-asparagine,cpd:C03411,N-Glycosyl-L-asparagine
Cantharidin,cpd:C16778,Cantharidin
Piperaduncin B,cpd:C09829,Piperaduncin B
5'-Deoxyguanosine,NA,NA
5-Formimidoyltetrahydrofolic acid,NA,NA
5-Formylsalicylic acid,NA,NA
"5-hydroxy-2,2,6,6-tetramethyl-4-{2-methyl-1-[2,4,6-trihydroxy-3-(2-methylpropanoyl)phenyl]propyl}cyclohex-4-ene-1,3-dione",NA,NA
5-Hydroxy-2-methoxypyridine,NA,NA
"5-hydroxy-6,8-dimethoxy-7-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-2H-chromen-2-one",NA,NA
5-Hydroxy-7-methoxy-4-(methoxymethyl)-6-methyl-1(3H)-isobenzofuranone,NA,NA
5'-Hydroxyasperentin,NA,NA
5-Hydroxytryptophol glucuronide,NA,NA
"5-isopropyl-3,8-dimethyl-4a,5,6,7-tetrahydro-1H-naphthalen-2-one",NA,NA
"5-Methyl-1,2,3,4-tetrahydroxybenzene",NA,NA
"5-Methylhepta-1,3,6-triene",NA,NA
5-Nonylresorcinol,NA,NA
"6-(1,3-Diphenylbut-3-en-2-yloxy)-3,4,5-trihydroxyoxane-2-carboxylic acid",NA,NA
"6-(2,4-dihydroxy-6-methylphenyl)-4-hydroxypyran-2-one",NA,NA
Tetrahydrocortisone,cpd:C05470,Tetrahydrocortisone; Urocortisone
"6-(2-Benzyl-3-oxopropoxy)-3,4,5-trihydroxyoxane-2-carboxylic acid",NA,NA
6-(3-hydroxybutan-2-yl)-5-(hydroxymethyl)-4-methoxy-2H-pyran-2-one,NA,NA
"6-(4-Ethenylphenoxy)-3,4,5-trihydroxyoxane-2-carboxylic acid",NA,NA
6-(Naphthalen-2-Yl)-9-(5-O-Phosphono-Beta-D-Ribofuranosyl)-9h-Purine,NA,NA
"6,7,8-trimethoxy-2H-chromen-2-one",NA,NA
"6,7-Dihydroxy-4-methylcoumarin",NA,NA
Crocetin,cpd:C08588,"Crocetin; 8,8'-Diapocarotene-8,8'-dioic acid"
"6,7-Dimethoxy-2-methyl-1,2,3,4-tetrahydroisoquinoline",NA,NA
"6-[(2E,6E)-7-(5-hydroxy-3-methyl-2-oxocyclopent-3-en-1-yl)-6-methylhepta-2,6-dien-2-yl]-3-methyl-5,6-dihydro-2H-pyran-2-one",NA,NA
6-[(2S)-2-hydroperoxy-3-methylbut-3-enyl]-7-methoxychromen-2-one,NA,NA
"6-[(E)-3-carboxy-2-methylprop-2-enoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid",NA,NA
"6-[(E)-4,5-dihydroxy-4-methylhex-2-en-2-yl]-4-methoxy-3-methylpyran-2-one",NA,NA
6-[1-Hydroxy-1-(3-methyl-5-oxooxolan-2-yl)ethyl]-4-methoxy-3-methylpyran-2-one,NA,NA
6-acetoxy-7-acetyl-1-hydroxy-3-methoxyanthraquinone,NA,NA
"6-acetyl-13-hydroxy-16,17-dimethoxy-2,7,20-trioxapentacyclo[11.8.0.0^{3,11}.0^{4,8}.0^{14,19}]henicosa-3,8,10,14(19),15,17-hexaen-12-one",NA,NA
6-acetyl-2-(hydroxymethyl)-2-methyl-3H-chromen-4-one,NA,NA
Tris(2-butoxyethyl) phosphate,cpd:C14446,Tris(butoxyethyl)phosphate; Tris(2-butoxyethyl) phosphate
13-OxoODE,cpd:C14765,"13-OxoODE; 13-KODE; (9Z,11E)-13-Oxooctadeca-9,11-dienoic acid"
6-Amino-2-(4-aminobutanamido)hexanoic acid,NA,NA
Palmitoleic acid,cpd:C08362,(9Z)-Hexadecenoic acid; Palmitoleic acid; cis-9-Hexadecenoic acid; (9Z)-Hexadec-9-enoate
"6-Amino-3-methyl-4-phenyl-1,4-dihydropyrano[2,3-c]pyrazole-5-carbonitrile",NA,NA
6-Hydroxy-5-methoxyindole glucuronide,NA,NA
"6-Hydroxy-7,8-dimethoxy-2-(2-oxopropyl)-2,3,3a,9b-tetrahydrouro[3,2-c]isochromen-5-one",NA,NA
Palmitoleic Acid,cpd:C08362,(9Z)-Hexadecenoic acid; Palmitoleic acid; cis-9-Hexadecenoic acid; (9Z)-Hexadec-9-enoate
"6-Hydroxy-7,8-dimethoxycoumarin",NA,NA
"6-Hydroxy-8-methoxy-3-methyl-3,4-dihydro-1H-isochromen-1-one",NA,NA
6-Methoxysalicylaldehyde,NA,NA
6-Pentyl-2H-pyran-2-one,NA,NA
4-Methyl-L-glutamate,cpd:C06234,4-Methyl-L-glutamate
"7-(1-ethoxyethyl)-4,8-dihydroxy-6-methoxy-tetralin-1-one",NA,NA
"7-(6,7-Dihydroxy-3,7-dimethyloct-2-enyloxy)-6-methoxycoumarin",NA,NA
7-(Methylthio)heptyl-glucosinolate,NA,NA
"7,18-Dihydroxykaurenolide",NA,NA
"7,8-Dihydroxy-4-methylcoumarin",NA,NA
"7-[(3,3-dimethyloxiran-2-yl)methoxy]-6-methoxy-2H-chromen-2-one",NA,NA
"7-[[(6R,8aS)-1,6-dihydroxy-1,5,5,8a-tetramethyl-3,4,4a,6,7,8-hexahydro-2H-naphthalen-2-yl]methoxy]chromen-2-one",NA,NA
"7-Acetyl-3,6-dihydroxy-8-methyl-tetralone",NA,NA
Isoleucine,cpd:C00407,L-Isoleucine; 2-Amino-3-methylvaleric acid
Isoleucine,cpd:C06418,"D-Isoleucine; (2R,3R)-2-Amino-3-methylvaleric acid"
Isoleucine,cpd:C16434,Isoleucine
Uracil,cpd:C00106,Uracil
Uracil,cpd:C00868,tRNA uridine; Uracil in tRNA
7-Hydroxy-2-oxo-2H-chromene-6-carboxylic acid,NA,NA
Guanine,cpd:C00242,Guanine; 2-Amino-6-hydroxypurine
Guanine,cpd:C01977,tRNA guanine; Guanine in tRNA
"7-hydroxy-6-methyl-1H,2H,3H,4H-cyclopenta[c]chromen-4-one",NA,NA
7-Hydroxycoumarin-4-acetic acid,NA,NA
7-Hydroxycoumarine,NA,NA
Penicillic acid,cpd:C16804,Penicillic acid
Penicillic acid,cpd:C19495,"Penicillic acid; 3-Methoxy-5-methyl-4-oxo-2,5-hexadienoic acid"
Thymine,cpd:C00178,Thymine; 5-Methyluracil
alpha-Lapachone,cpd:C10372,9-Methoxy-alpha-lapachone
"7-Methyl-3-methylene-6-(3-oxobutyl)-3,3a,4,7,8,8a-hexahydro-2H-cyclohepta[b]furan-2-one",NA,NA
7-methyl-3-oxooct-6-enoic acid,NA,NA
"7-methylpyrimido[4,5-d]pyrimidin-4-amine",NA,NA
7-Oxocurvularin,NA,NA
"8-(7-Hydroxy-4-methoxy-5-methyl-2-oxochromen-6-yl)-4,7-dimethoxy-5-methylchromen-2-one",NA,NA
8(S)-Amino-2(R)-methyl-7-oxononanoic acid,NA,NA
"8,8-dimethyl-2H,8H-pyrano[3,2-g]chromen-2-one",NA,NA
"8,8-Dimethyl-3-(2,4,5-trimethoxyphenyl)-2,3-dihydropyrano[2,3-f]chromen-4-one",NA,NA
8-Acetyl-7-deuteriooxy-4-methylchromen-2-one,NA,NA
8-acetyl-7-hydroxy-4-methyl-chromen-2-one,NA,NA
8-Acetyl-7-hydroxycoumarin,NA,NA
8-Ethyl-7-hydroxy-5-methoxy-2-methylchroman-4-one,NA,NA
"8H,16H-Dinaphtho[2,1-d:1',2'-g][1,3]dioxocine",NA,NA
"8-Hydroxy-5,6,7-trimethoxychromen-2-one",NA,NA
Aspartame,cpd:C11045,Aspartame
"8-Hydroxy-6,7-dimethoxy-3-methyl-3,4-dihydroisochromen-1-one",NA,NA
"8-Hydroxy-6-methoxy-3,4-dimethylisochromen-1-one",NA,NA
Dimethyl maleate,cpd:C00922,"2,3-Dimethylmaleate; Dimethylmaleic acid"
Dimethyl maleate,cpd:C05126,"Dimethyl citraconate; Citraconic acid dimethyl ester; 2-Butenedioic acid, 2-methyl-, dimethyl ester, (Z)-; Citraconate de dimethyle; Citraconic acid, dimethyl ester; Dimethyl methylmaleate; Methylmaleic acid, dimethyl ester"
Cumene,cpd:C14396,Cumene; Isopropylbenzene
Ethylbenzene,cpd:C07111,Ethylbenzene; Phenylethane; Ethylbenzol; Ethylenzene
9'-Carboxy-gamma-tocotrienol,NA,NA
9-hydroperoxy-10E-octadecenoate,NA,NA
"9-hydroxy-2,10,10-trimethyltricyclo[6.3.0.0Âa,âµ]undec-6-ene-6-carboxylic acid",NA,NA
Tromethamine,cpd:C07182,"Tromethamine; 2-Amino-2-(hydroxymethyl)-1,3-propanediol; Trometamol"
"9-Hydroxy-4-(3,7-dimethyl-2,6-octadienyloxy)-psoralen",NA,NA
Nicotianamine,cpd:C05324,Nicotianamine
9'-Methylprotocetraric acid,NA,NA
4-Methylene-L-glutamine,cpd:C01109,4-Methylene-L-glutamine
Acetic acid 2-acetoxy-5-acetyl-phenyl ester,NA,NA
"Acetic acid, 2-(p-(allylamino)phenyl)-",NA,NA
Acronyculatin D,NA,NA
Aculeatusquinone C,NA,NA
Allopurinol riboside,NA,NA
D-Mannosamine,cpd:C00625,N-Acyl-D-mannosamine
D-Mannosamine,cpd:C00645,N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose
D-Mannosamine,cpd:C00686,N-Acyl-D-mannosamine 6-phosphate
D-Mannosamine,cpd:C01170,UDP-N-acetyl-D-mannosamine; UDP-N-acetyl-alpha-D-mannosamine
D-Mannosamine,cpd:C03521,Glycolyl-D-mannosamine; N-Glycolyl-D-mannosamine
D-Mannosamine,cpd:C03570,D-Mannosamine; 2-Amino-2-deoxy-D-mannose
D-Mannosamine,cpd:C04257,N-Acetyl-D-mannosamine 6-phosphate; N-Acetylmannosamine 6-phosphate
D-Mannosamine,cpd:C04336,N-Glycolyl-D-mannosamine 6-phosphate
alpha-alpha-Trehalose,NA,NA
Choline sulfate,cpd:C00919,Choline sulfate
alpha-aminopimelate,NA,NA
alpha-Corocalene,NA,NA
alpha-D-GlcNAc-(1->4)-D-GlcA,NA,NA
"alpha-D-Glucopyranose, 2-deoxy-2-(dimethylamino)",NA,NA
alpha-D-Lactose,NA,NA
alpha-D-ManAc-(1-P-6)-alpha-D-ManAc,NA,NA
alpha-Hydroxysalmeterol,NA,NA
"AMMONIUM, TRIMETHYL(3-SULFOPROPYL)-, HYDROXIDE, inner salt",NA,NA
Arenatin B,NA,NA
Asperfuran,NA,NA
2(5H)-Furanone,cpd:C17601,2(5H)-Furanone; gamma-Crotonolactone; Butenolide
Aspergentisyl B,NA,NA
Aspergilate D,NA,NA
Aspergilline B,NA,NA
Aspergiloid G,NA,NA
Aspergixanthone I,NA,NA
Aspinonediol,NA,NA
Aspinonene,NA,NA
Austocystin D,NA,NA
2'-N-Acetylparomamine,cpd:C17582,2'-N-Acetylparomamine
Azanigerone E,NA,NA
Banksiamarin A,NA,NA
Protoanemonin,cpd:C07090,Protoanemonin; 4-Methylenebut-2-en-4-olide; cis-4-Methylenebut-2-en-4-olide
"Benzofuran, 2,5-diacetyl-6-methoxy-",NA,NA
"Benzoic acid, 2-(diethylamino)ethyl ester",NA,NA
N6-Acetyl-L-lysine,cpd:C01997,Histone N6-acetyl-L-lysine; Acetylhistone
N6-Acetyl-L-lysine,cpd:C02727,N6-Acetyl-L-lysine
N6-Acetyl-L-lysine,cpd:C04149,[alpha-Tubulin]-N6-acetyl-L-lysine
N6-Acetyl-L-lysine,cpd:C20743,Protein N6-acetyl-L-lysine; Acetylprotein; [Protein]-N6-acetyl-L-lysine
N-acetylornithine,cpd:C00437,N-Acetylornithine; N2-Acetyl-L-ornithine
L-Homocitrulline,cpd:C02427,L-Homocitrulline
"Benzoic acid, 3,5-bis(acetyloxy)-4-methoxy-, methyl ester",NA,NA
Benzoquinoneacetic acid,NA,NA
Benzoylmalic acid,NA,NA
3-Buten-1-amine,cpd:C12244,3-Buten-1-amine
beta1-6Galactobiose,NA,NA
2-Oxoarginine,cpd:C03771,5-Guanidino-2-oxopentanoate; 5-Guanidino-2-oxo-pentanoate; 2-Oxo-5-guanidinopentanoate; 2-Oxo-5-guanidino-pentanoate; 2-Oxoarginine
beta-D-Galactopyranosyl-(1->4)-2-amino-2-deoxy-beta-D-glucopyranosyl-(1->6)-D-mannose,NA,NA
(-)-Slaframine,cpd:C06185,Slaframine; (-)-Slaframine
beta-D-galactosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-(1->6)-D-galactitol,NA,NA
beta-D-Glc-(1->4)-[L-alpha-D-Hep-(1->3)]-L-alpha-D-Hep,NA,NA
Bis(4-ethylbenzylidene)sorbitol,NA,NA
Boc-Asp(OBzl)-OH,NA,NA
Boc-L-leucinol,NA,NA
Camphorquinone,cpd:C14515,Camphorquinone
Botryosphaerin F,NA,NA
Camphenal,NA,NA
Cassiachromone,NA,NA
"Cembratetraene-16,2:19,6-diolide",NA,NA
"Cinnamic acid, p-hydroxy-, acetate",NA,NA
"cis-2,4-Pentadienal",NA,NA
Citbismine C,NA,NA
Clinopodic Acid B,NA,NA
Colisiderin A,NA,NA
Coriandrone D,NA,NA
Crotonic acid betaine,NA,NA
Dicyclohexylamine,cpd:C14686,Dicyclohexylamine; N-Cyclohexylcyclohexanamine
Cyclohexadec-8-en-1-one,NA,NA
D-(+)-Camphor,NA,NA
D-(+)-Cellobiose,NA,NA
D-(+)-Glucosamine,NA,NA
D-Lombricine,cpd:C01726,D-Lombricine
D-(+)-Raffinose,NA,NA
D-(+)-Turanose,NA,NA
dalpanol,NA,NA
Dalpanol,NA,NA
beta-Cymaropyranose,cpd:C08234,"beta-Cymaropyranose; D-Cymarose; Cymarose; 2,6-Dideoxy-3-O-methyl-D-ribo-hexose"
"Daphnetoxin,12-hydroxy",NA,NA
DeazaUrd,NA,NA
"Decanoic acid, 2-amino-8-oxo-, (2S)-",NA,NA
Decarboxythamnolic acid,NA,NA
Dehydroaustin,NA,NA
Dehydrochorismic acid,NA,NA
Dehydrocitreoisocoumarin,NA,NA
Eupatoriochromene,cpd:C09006,"Eupatoriochromene; 1-(7-Hydroxy-2,2-dimethyl-2H-1-benzopyran-6-yl)-ethanone"
d-Galactopyranose-2-sulfate,NA,NA
"D-Glycero-D-manno-heptose 1,7-bisphosphate",NA,NA
Diethamine,NA,NA
"Diethyl (2R,3R)-2-methyl-3-hydroxysuccinate",NA,NA
Dihydrodeoxy-8-epiaustdiol,NA,NA
Dimethoxycurcumin,NA,NA
DL-Stachydrine,NA,NA
D-Melezitose,NA,NA
D-Pantothenate,NA,NA
D-Raffinose,NA,NA
Dukunolide D,NA,NA
Eicosatetraynoic acid,NA,NA
embigenin,NA,NA
